TITLE;2 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;;;;;;;;;1;2
type;;;;;;;;;RandomNormal;RandomNormal
p1;;;;;;;;;0;0
p2;;;;;;;;;1;1
distances;(RandomNormal, RandomNormal) (many)
DE Euclidean(MinimumTimesMedian);0.017145;1.2226;0.0143215766942715;1.0213;1.1971;0.20969;0.79031
weights;(RandomWeibull, RandomPearson)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.76166;0.23834
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.0048854;1.155;0.00477350895429331;1.1286;1.0234;0.81327;0.18673
DE Euclidean(MinimumTimesMedian);0.0048868;1.1554;0.00477350895429331;1.1286;1.0237;0.8132;0.1868
DE Euclidean(MinimumTimesMedian);0.0048868;1.1554;0.00477350895429331;1.1286;1.0237;0.8132;0.1868
DE Euclidean(MinimumTimesMedian);0.0048868;1.1554;0.00477350895429331;1.1286;1.0237;0.8132;0.1868
DE Euclidean(MinimumTimesMedian);0.0048868;1.1554;0.00477350895429331;1.1286;1.0237;0.8132;0.1868
weights;(RandomWeibull, RandomUniform)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.86615;0.13385
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.0035744;1.1834;0.00157099410307797;0.52012;2.2753;0.56589;0.43411
DE Euclidean(MinimumTimesMedian);0.0035746;1.1835;0.00157099410307797;0.52012;2.2753;0.56582;0.43418
DE Euclidean(MinimumTimesMedian);0.0035746;1.1835;0.00157099410307797;0.52012;2.2754;0.56582;0.43418
DE Euclidean(MinimumTimesMedian);0.0035746;1.1835;0.00157099410307797;0.52012;2.2754;0.56582;0.43418
DE Euclidean(MinimumTimesMedian);0.0035746;1.1835;0.00157099410307797;0.52012;2.2754;0.56582;0.43418
weights;(RandomWeibull, RandomWeibull)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.58281;0.41719
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.0034217;1.2353;0.0027956000915503;1.0093;1.224;0.90739;0.092613
DE Euclidean(MinimumTimesMedian);0.0034217;1.2353;0.0027956000915503;1.0093;1.224;0.90739;0.092613
DE Euclidean(MinimumTimesMedian);0.0034217;1.2353;0.0027956000915503;1.0093;1.224;0.90739;0.092613
DE Euclidean(MinimumTimesMedian);0.0034217;1.2353;0.0027956000915503;1.0093;1.224;0.90739;0.092613
DE Euclidean(MinimumTimesMedian);0.0034217;1.2353;0.0027956000915503;1.0093;1.224;0.90739;0.092613
weights;(RandomNormal, RandomNormal)
gain;3;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.87951;0.12049
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.15173;1.0417;0.0658412985340229;0.45203;2.3044;0.63024;0.36976
DE Euclidean(MinimumTimesMedian);0.15173;1.0417;0.0658412985340229;0.45203;2.3044;0.63024;0.36976
DE Euclidean(MinimumTimesMedian);0.15173;1.0417;0.0658412985340229;0.45203;2.3044;0.63024;0.36976
DE Euclidean(MinimumTimesMedian);0.15173;1.0417;0.0658412985340229;0.45203;2.3044;0.63024;0.36976
DE Euclidean(MinimumTimesMedian);0.15173;1.0417;0.0658412985340229;0.45203;2.3044;0.63024;0.36976
weights;(RandomNormal, RandomPearson)
gain;3;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.89378;0.10622
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.036151;1.0904;0.02497820085766;0.75341;1.4473;0.42356;0.57644
DE Euclidean(MinimumTimesMedian);0.036151;1.0904;0.02497820085766;0.75341;1.4473;0.42356;0.57644
DE Euclidean(MinimumTimesMedian);0.036151;1.0904;0.02497820085766;0.75341;1.4473;0.42356;0.57644
DE Euclidean(MinimumTimesMedian);0.036151;1.0904;0.02497820085766;0.75341;1.4473;0.42356;0.57644
DE Euclidean(MinimumTimesMedian);0.036151;1.0904;0.02497820085766;0.75341;1.4473;0.42356;0.57644
weights;(RandomNormal, RandomUniform)
gain;3;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.99983;0.00017399
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.045127;2.7382;0.00954561866441099;0.5792;4.7275;0.83525;0.16475
DE Euclidean(MinimumTimesMedian);0.045128;2.7382;0.00954561866441099;0.5792;4.7276;0.83524;0.16476
DE Euclidean(MinimumTimesMedian);0.045128;2.7382;0.00954561866441099;0.5792;4.7276;0.83524;0.16476
DE Euclidean(MinimumTimesMedian);0.045128;2.7382;0.00954561866441099;0.5792;4.7276;0.83524;0.16476
DE Euclidean(MinimumTimesMedian);0.045128;2.7382;0.00954561866441099;0.5792;4.7276;0.83524;0.16476
weights;(RandomNormal, RandomWeibull)
gain;3;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.83108;0.16892
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.099122;1.7227;0.0771058198023196;1.3401;1.2855;0.70629;0.29371
DE Euclidean(MinimumTimesMedian);0.099122;1.7227;0.0771058198023196;1.3401;1.2855;0.70629;0.29371
DE Euclidean(MinimumTimesMedian);0.099122;1.7227;0.0771058198023196;1.3401;1.2855;0.70629;0.29371
DE Euclidean(MinimumTimesMedian);0.099122;1.7227;0.0771058198023196;1.3401;1.2855;0.70629;0.29371
