TITLE;15 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;;;;;;;;;1;2;3;4;5;6;7;8
type;;;;;;;;;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal
p1;;;;;;;;;0;0;0;0;0;0;0;0
p2;;;;;;;;;1;1;1;1;1;1;1;1
distances;(RandomNormal, RandomNormal) (many)
gain;1;3;9;27;81
DE Euclidean(MinimumTimesMedian);0.13419;2.2017;0.0649821415944356;1.0662;2.065;3.0394E-07;0.19237;0.080153;0.21279;0.10148;0.20945;0.15403;3.4066E-07;1.4934E-06;0.049727;1.0375E-08;5.0129E-09;1.1712E-06;3.2759E-07;1.0551E-09
DE Euclidean(MinimumTimesMedian);0.13457;2.208;0.0649821415944356;1.0662;2.0709;1.7612E-07;0.18937;0.080053;0.21605;0.11452;0.20175;0.13638;1.6189E-07;4.7106E-08;0.061874;4.468E-08;1.6177E-10;8.3342E-08;9.9553E-08;7.2825E-08
DE Euclidean(MinimumTimesMedian);0.13477;2.2112;0.0649821415944356;1.0662;2.0739;2.2585E-07;0.19378;0.082549;0.22222;0.11917;0.2091;0.12416;3.0636E-08;1.9402E-06;0.04901;6.4504E-07;5.7735E-08;7.2929E-07;1.0161E-07;1.0932E-05
weights;(RandomPearson, RandomNormal)
gain;1;normalization;Center
component;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
PCA;;;;;;0.16703;0.062193;0.048639;0.04121;0.069017;0.11078;0.17148;0.027207;0.039376;0.053002;0.032478;0.057495;0.031677;0.045752;0.042666
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.15462;2.0124;0.0958497743802639;1.2475;1.6131;0.17231;0.028763;4.2221E-08;0.092238;0.11131;0.1014;0.15414;6.4782E-08;0.17069;0.084164;1.8319E-07;0.084979;8.0792E-10;1.8556E-08;3.4465E-10
DE Euclidean(MinimumTimesMedian);0.16077;2.0926;0.0958497743802639;1.2475;1.6774;0.16904;0.032585;1.6898E-05;1.5725E-07;8.8098E-06;0.14019;0.1237;0.11925;6.2771E-07;0.19566;6.6531E-06;0.097926;8.1607E-05;0.074981;0.046561
DE Euclidean(MinimumTimesMedian);0.16594;2.1597;0.0958497743802639;1.2475;1.7312;0.20576;4.8268E-09;0.089609;3.7813E-08;5.5923E-08;0.16794;0.11472;0.11046;1.4095E-07;0.1941;2.8447E-07;0.11741;5.8945E-08;3.0079E-08;2.7436E-07
DE Euclidean(MinimumTimesMedian);0.17028;2.2163;0.0958497743802639;1.2475;1.7765;0.23417;0.032251;6.4378E-13;1.4323E-12;0.033351;0.12617;0.16913;4.5652E-14;6.85E-14;1.6184E-12;5.7759E-13;0.16745;1.0355E-13;0.23748;1.4487E-12
DE Euclidean(MinimumTimesMedian);0.18127;2.3593;0.0958497743802639;1.2475;1.8912;0.075356;0.14765;9.7557E-07;2.8511E-08;1.2165E-06;0.04499;0.10966;0.10426;1.1875E-06;0.2524;5.2432E-08;0.26568;6.8627E-07;1.9323E-06;4.3534E-07
weights;(RandomPearson, RandomPearson)
gain;1;normalization;Center
component;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
PCA;;;;;;0.13587;0.074598;0.028962;0.085183;0.016305;0.03471;0.034811;0.033602;0.099817;0.094513;0.076364;0.070869;0.069446;0.064795;0.080161
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.13595;2.1223;0.0672728464317024;1.0502;2.0209;0.0647;0.14752;4.0874E-06;0.13484;1.126E-06;0.046669;2.6274E-05;0.044831;0.20331;0.080212;6.4004E-07;0.063758;0.016727;0.033007;0.16439
DE Euclidean(MinimumTimesMedian);0.13738;2.1446;0.0672728464317024;1.0502;2.0421;8.1336E-08;0.17285;5.5856E-07;0.19939;0.014646;0.030435;1.016E-05;0.043413;0.21713;0.088913;1.5369E-05;0.059589;0.020883;2.5874E-07;0.15273
DE Euclidean(MinimumTimesMedian);0.14104;2.2018;0.0672728464317024;1.0502;2.0965;5.1383E-07;0.19492;7.1179E-08;0.20431;5.1073E-07;2.0555E-07;9.9969E-06;0.047208;0.20387;0.093791;1.4635E-08;0.060996;0.040907;3.477E-07;0.15399
DE Euclidean(MinimumTimesMedian);0.1419;2.2152;0.0672728464317024;1.0502;2.1093;0.070527;0.13472;0.00029806;0.13335;2.9967E-07;0.05612;7.4839E-06;0.04564;0.22611;0.089117;6.8421E-07;0.061968;0.017512;0.00011343;0.16452
DE Euclidean(MinimumTimesMedian);0.14211;2.2184;0.0672728464317024;1.0502;2.1124;0.070135;0.14405;3.7005E-06;0.13242;1.456E-06;0.057727;5.6915E-08;0.045488;0.22295;0.086917;7.9623E-06;0.061908;0.015981;8.4532E-07;0.16241
weights;(RandomPearson, RandomUniform)
gain;1;normalization;Center
component;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
PCA;;;;;;0.14069;0.13017;0.056155;0.11329;0.34377;0.15602;0.053548;0.00065082;0.00072411;0.0011198;0.0010458;0.00083435;0.00096735;0.00030784;0.00070888
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.085197;4.7495;0.0471754049828903;2.6299;1.806;0.19434;6.9072E-08;2.3718E-09;0.30444;0.26286;0.10011;0.0048305;5.7406E-07;7.9753E-07;6.8128E-08;1.8844E-08;0.13342;1.6987E-07;3.3733E-07;1.9942E-07
DE Euclidean(MinimumTimesMedian);0.090818;5.0628;0.0471754049828903;2.6299;1.9251;0.24557;0.026412;0.26602;2.8951E-10;0.38213;0.079878;1.0441E-10;1.1509E-08;4.5341E-09;2.5757E-10;5.1415E-08;2.5678E-08;7.044E-08;2.3033E-08;4.3223E-11
DE Euclidean(MinimumTimesMedian);0.091445;5.0978;0.0471754049828903;2.6299;1.9384;0.1851;0.022991;2.0203E-12;0.3187;0.3199;1.5837E-11;3.2838E-12;4.0773E-13;3.5821E-12;2.2227E-13;7.5243E-12;0.15332;1.2613E-12;8.4889E-13;1.791E-16
DE Euclidean(MinimumTimesMedian);0.092056;5.1318;0.0471754049828903;2.6299;1.9514;0.31722;0.019736;0.017032;0.31979;0.32622;5.4358E-08;2.6693E-08;4.809E-09;2.7485E-08;4.1708E-08;1.3979E-09;2.1883E-07;9.979E-10;1.8644E-09;6.2248E-08
DE Euclidean(MinimumTimesMedian);0.092183;5.1389;0.0471754049828903;2.6299;1.954;0.24761;0.038648;0.18116;0.015939;0.27249;0.24415;2.4888E-10;3.2049E-10;5.0312E-10;2.4173E-10;8.4917E-11;4.2065E-13;1.4735E-12;4.6479E-10;3.1448E-10
weights;(RandomPearson, RandomWeibull)
gain;1;normalization;Center
component;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
PCA;;;;;;0.12117;0.11714;0.09805;0.072931;0.077067;0.098869;0.046398;0.037602;0.028538;0.090127;0.0325;0.061842;0.031971;0.036952;0.048843
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.12274;2.0006;0.0712757087886286;1.1617;1.7221;0.030263;0.18196;0.14603;1.0681E-11;3.8954E-13;0.13715;0.08577;4.2256E-11;4.5484E-11;0.042043;2.9241E-12;0.20135;1.07E-10;2.52E-11;0.17543
DE Euclidean(MinimumTimesMedian);0.12471;2.0327;0.0712757087886286;1.1617;1.7497;0.11786;0.13359;0.16546;3.3486E-07;8.9863E-08;0.14862;0.05015;6.7495E-08;3.9665E-07;0.108;0.10967;4.8951E-07;7.5305E-08;1.9673E-08;0.16665
DE Euclidean(MinimumTimesMedian);0.12559;2.0471;0.0712757087886286;1.1617;1.7621;0.073354;0.19383;0.21024;3.6722E-05;3.8736E-05;0.070617;0.040067;2.1243E-05;8.6634E-06;0.030038;1.4173E-06;0.1936;1.446E-05;4.5872E-06;0.18812
DE Euclidean(MinimumTimesMedian);0.13472;2.1959;0.0712757087886286;1.1617;1.8902;0.21965;0.19248;0.16593;1.6482E-07;0.024411;0.067798;1.2072E-06;3.4796E-07;0.10651;0.035668;1.104E-06;0.18755;1.5128E-08;1.8965E-06;1.4083E-07
DE Euclidean(MinimumTimesMedian);0.13482;2.1974;0.0712757087886286;1.1617;1.8915;0.17002;0.17026;0.19274;1.0062E-07;0.13509;0.059455;9.6955E-09;2.6037E-07;6.2299E-08;0.048881;1.0468E-07;0.22356;2.4601E-09;1.7364E-07;2.332E-08
weights;(RandomUniform, RandomNormal)
gain;1;normalization;Center
component;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
PCA;;;;;;0.0086483;0.0053581;0.0031572;0.0039405;0.0020538;0.0049058;0.003081;0.096113;0.06005;0.14431;0.13553;0.15631;0.12469;0.11172;0.14014
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
