TITLE;Differential evolution variants;;;;;;;;;
FOCUS ON;;;;;;;;;;
EXPERIMENT TYPE;DEVariants;;;;;;;;;
PARAMETERS;;;;;;;;;;
normalization;Center;;;;;;;;;
pcaRecompositionThreshold;0.95;;;;;;;;;
component;1;2;3;4;5;6;7;8;;
type;RandomNormal;RandomUniform;RandomNormal;RandomNormal;RandomNormal;RandomUniform;RandomWeibull;RandomWeibull;;
p1;0;0;0;0;0;0;0;0;;
p2;15;10;10;10;10;5;0.2;5;;
RESULTS;;;;;;;;;;
COMMON;;;;;;;;;;
distance;;;;;;;;;;
which;A;T;C;;;;;;;
plain;12.339;1.0304;1.6555;;;;;;;
PCA;232.56;0.0088295;6.9217;;;;;;;
PCA;;;;;;;;;;
weights;0.000036201;1.7316E-006;0.000041148;0.000033372;0.000025605;1.9338E-007;0.081678;0.000000006;3.262E-008;
differential evolutions parameters, by distance type;;;;;;;;;;
i;dDE / dP;distance;type;parentWeight;crossover;population;iterations;distance;;
30351;4.2615;4.3912;4;1;0.5;125;10;T;0.0014233;
31313;5.7685;5.944;4;1.5;1;75;100;T;0.0014236;
27873;3.9616;4.0821;3;0.85;0.25;75;10;T;0.001425;
26620;4.6414;4.7826;2;1;1;100;50;T;0.0014295;
34515;6.6788;6.882;6;1.2;0.25;30;50;T;0.001435;
27681;5.7156;5.8895;3;0.5;0.75;75;30;T;0.0014377;
29311;4.7831;4.9287;3;1.5;1;10;125;T;0.0014393;
34892;6.5751;6.7752;6;1.5;0.25;10;50;T;0.0014438;
31302;8.0525;8.2975;4;1.5;1;50;125;T;0.0014443;
35082;13.076;13.474;6;1.5;0.5;150;125;T;0.0014493;
25064;9.2976;9.5805;1;1.2;1;100;150;T;0.0014523;
34311;8.8726;9.1425;6;1;0.75;10;150;T;0.0014554;
31155;9.9612;10.264;4;1.5;0.5;150;50;T;0.0014568;
24502;4.3983;4.5321;1;1;0.75;10;30;T;0.0014599;
26995;7.9887;8.2318;2;1.2;1;75;30;T;0.0014671;
28829;9.766;10.063;3;1.2;0.75;30;30;T;0.0014672;
35166;11.525;11.875;6;1.5;0.75;125;125;T;0.0014675;
33314;5.479;5.6457;5;1.5;1;150;75;T;0.0014684;
31755;6.6829;6.8862;5;0.85;0.25;10;50;T;0.0014697;
31677;3.9573;4.0777;5;0.5;1;30;100;T;0.0014758;
25448;11.024;11.359;1;1.5;1;100;100;T;0.0014808;
24685;8.6415;8.9045;1;1;1;125;150;T;0.0014813;
34865;5.7615;5.9368;6;1.2;1;125;50;T;0.0014847;
35037;10.93;11.262;6;1.5;0.5;75;100;T;0.0014849;
32890;4.1387;4.2646;5;1.2;1;100;30;T;0.0014853;
31712;3.2041;3.3016;5;0.5;1;100;30;T;0.0014908;
28890;10.426;10.743;3;1.2;0.75;125;75;T;0.0014922;
29739;4.276;4.406;4;0.5;1;75;30;T;0.0014944;
33248;7.4288;7.6548;5;1.5;1;30;125;T;0.0014976;
32864;4.9507;5.1013;5;1.2;1;50;50;T;0.0015023;
31665;2.9934;3.0845;5;0.5;1;10;150;T;0.0015042;
25288;5.6752;5.8479;1;1.5;0.75;10;50;T;0.0015064;
30389;9.9378;10.24;4;1;0.75;10;125;T;0.0015068;
34962;4.7829;4.9284;6;1.5;0.25;125;30;T;0.0015087;
25028;7.759;7.9951;1;1.2;1;50;100;T;0.0015137;
31167;6.9086;7.1188;4;1.5;0.75;10;50;T;0.0015204;
31346;3.2467;3.3455;4;1.5;1;150;10;T;0.001521;
29680;4.1509;4.2772;4;0.5;0.75;150;10;T;0.0015229;
34356;3.4918;3.5981;6;1;0.75;100;10;T;0.0015262;
24699;7.9317;8.173;1;1.2;0.25;10;50;T;0.001528;
27752;10.339;10.653;3;0.5;0.75;150;150;T;0.0015288;
29729;3.7316;3.8451;4;0.5;1;50;75;T;0.0015317;
26184;2.5358;2.6129;2;0.85;1;30;50;T;0.0015341;
23826;2.0734;2.1365;1;0.5;1;10;150;T;0.0015364;
25381;2.8117;2.8973;1;1.5;1;10;10;T;0.001538;
29220;7.6423;7.8748;3;1.5;0.75;30;30;T;0.0015407;
32774;3.9896;4.111;5;1.2;0.75;75;10;T;0.0015442;
32626;11.799;12.158;5;1.2;0.25;150;50;T;0.0015494;
26477;8.0468;8.2916;2;1;0.75;30;30;T;0.0015526;
31117;15.934;16.419;4;1.5;0.5;75;100;T;0.001553;
33738;15.209;15.672;6;0.85;0.25;30;125;T;0.0015548;
29234;11.111;11.449;3;1.5;0.75;30;150;T;0.0015558;
35023;11.728;12.085;6;1.5;0.5;50;100;T;0.0015574;
23425;3.0795;5.0983;6;1.5;1;10;50;C;0.0015591;
32902;8.0039;8.2474;5;1.2;1;100;150;T;0.0015604;
32056;2.6613;2.7423;5;0.85;1;10;125;T;0.0015645;
21078;2.4327;4.0275;5;1.2;1;10;100;C;0.0015685;
33789;10.168;10.477;6;0.85;0.25;125;75;T;0.0015739;
27939;11.577;11.929;3;0.85;0.5;10;125;T;0.0015746;
